Time,CppFile,LogType,SourceType,SourceID,Team,Weapon,Damage,DestinationType,DestinationID,X,Y
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,117,L_TeamEnemy,1414.66,5989.42,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,119,L_TeamEnemy,1499.87,5880.88,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,121,L_TeamEnemy,1598.99,5984.28,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,123,L_TeamEnemy,1589.1,6000.06,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,125,L_TeamEnemy,1352.65,5786.4,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,127,L_TeamEnemy,1230.04,5950.38,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,129,L_TeamEnemy,1371.55,5810.5,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,131,L_TeamEnemy,1406.62,6023.99,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,133,L_TeamEnemy,1397.24,6123.78,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,135,L_TeamEnemy,1369.79,6166.71,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,137,L_TeamEnemy,1281.05,5907.9,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,139,L_TeamEnemy,1514.59,6035.74,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,141,L_TeamEnemy,1377.05,6077.96,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,143,L_TeamEnemy,1417.26,5870.58,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,145,L_TeamEnemy,1376.55,6021.03,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,147,L_TeamEnemy,1445.08,6039.76,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,149,L_TeamEnemy,1296.35,6016.76,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,151,L_TeamEnemy,1351.32,6125.82,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,153,L_TeamEnemy,1333.52,5902.38,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,155,L_TeamEnemy,1467.9,5811.18,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,157,L_TeamEnemy,1499.05,5944.85,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,159,L_TeamEnemy,1508.12,6027.14,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,161,L_TeamEnemy,1342.89,6082.54,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,163,L_TeamEnemy,1392.17,5828.75,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,165,L_TeamEnemy,1482.89,5898.9,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,167,L_TeamEnemy,1507.64,5857.98,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,169,L_TeamEnemy,1250.16,5890.65,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,171,L_TeamEnemy,1617.87,5857.58,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,173,L_TeamEnemy,1363.37,5993.02,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,175,L_TeamEnemy,1430.28,5898.32,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,177,L_TeamEnemy,1544.4,5924.59,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,179,L_TeamEnemy,1237.44,5981.96,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,181,L_TeamEnemy,1587.93,6114,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,183,L_TeamEnemy,1243.36,6082.48,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,185,L_TeamEnemy,1397.39,6171.39,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,187,L_TeamEnemy,1587.28,6088.18,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,189,L_TeamEnemy,1299.91,6066.66,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,191,L_TeamEnemy,1277.77,6106.96,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,193,L_TeamEnemy,1352.59,6177.49,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,195,L_TeamEnemy,1249.38,5797.39,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,197,L_TeamEnemy,1352.69,6169.15,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,199,L_TeamEnemy,1354.48,5988.17,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,201,L_TeamEnemy,1464.27,6069.07,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,203,L_TeamEnemy,1302.81,6048.29,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,205,L_TeamEnemy,1573.71,5898.26,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,207,L_TeamEnemy,1361.1,5870.39,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,209,L_TeamEnemy,1286.59,6022.36,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,211,L_TeamEnemy,1225.36,5930.07,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,213,L_TeamEnemy,1478.56,5784.73,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,215,L_TeamEnemy,1278.43,5883.41,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,217,L_TeamEnemy,1312.56,5783.96,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,219,L_TeamEnemy,1445.04,5965.17,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,221,L_TeamEnemy,1234.99,6158.57,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,223,L_TeamEnemy,1457.08,6050.49,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,225,L_TeamEnemy,1463.22,5841.13,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,227,L_TeamEnemy,1341.65,5842.09,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,229,L_TeamEnemy,1277.07,5944.39,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,231,L_TeamEnemy,1544.01,5846.07,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,233,L_TeamEnemy,1426.63,5842.09,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,235,L_TeamEnemy,1498.43,5798.19,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,237,L_TeamEnemy,1369.12,5906.65,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,239,L_TeamEnemy,1259.04,5803.66,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,241,L_TeamEnemy,1246.95,5866.43,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,243,L_TeamEnemy,1403.46,6052.55,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,245,L_TeamEnemy,1519.9,5945.07,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,247,L_TeamEnemy,1421.46,5973.6,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,249,L_TeamEnemy,1363.52,6145.29,,,,
2.007853,LevelGenNormal.c,L_spawn,EnemySimple,251,L_TeamEnemy,1401.38,5888.72,,,,
2.026943,Engine.c,L_time,2.026943,2.026943,0.01909,1,,,,,
2.046356,Engine.c,L_time,2.046356,2.046356,0.019413,1,,,,,
2.068144,Engine.c,L_time,2.068144,2.068144,0.021788,1,,,,,
2.090647,Engine.c,L_time,2.090647,2.090647,0.022504,1,,,,,
2.108677,Engine.c,L_time,2.108677,2.108677,0.018029,1,,,,,
2.126489,Engine.c,L_time,2.126489,2.126489,0.017812,1,,,,,
2.143757,Engine.c,L_time,2.143757,2.143757,0.017268,1,,,,,
2.160493,Engine.c,L_time,2.160493,2.160493,0.016737,1,,,,,
2.177162,Engine.c,L_time,2.177162,2.177162,0.016668,1,,,,,
2.193833,Engine.c,L_time,2.193833,2.193833,0.016672,1,,,,,
2.210548,Engine.c,L_time,2.210548,2.210548,0.016715,1,,,,,
2.229295,Engine.c,L_time,2.229295,2.229295,0.018747,1,,,,,
2.258848,Engine.c,L_time,2.258848,2.258848,0.029553,1,,,,,
2.275516,Engine.c,L_time,2.275516,2.275516,0.016668,1,,,,,
2.292205,Engine.c,L_time,2.292205,2.292205,0.016689,1,,,,,
2.30891,Engine.c,L_time,2.30891,2.30891,0.016705,1,,,,,
2.337841,Engine.c,L_time,2.337841,2.337841,0.028931,1,,,,,
2.354542,Engine.c,L_time,2.354542,2.354542,0.016701,1,,,,,
2.371199,Engine.c,L_time,2.371199,2.371199,0.016657,1,,,,,
2.387869,Engine.c,L_time,2.387869,2.387869,0.01667,1,,,,,
2.40454,Engine.c,L_time,2.40454,2.40454,0.016671,1,,,,,
2.421216,Engine.c,L_time,2.421216,2.421216,0.016676,1,,,,,
2.437883,Engine.c,L_time,2.437883,2.437883,0.016668,1,,,,,
2.454553,Engine.c,L_time,2.454553,2.454553,0.01667,1,,,,,
2.471227,Engine.c,L_time,2.471227,2.471227,0.016674,1,,,,,
2.487897,Engine.c,L_time,2.487897,2.487897,0.01667,1,,,,,
2.50457,Engine.c,L_time,2.50457,2.50457,0.016673,1,,,,,
2.521242,Engine.c,L_time,2.521242,2.521242,0.016671,1,,,,,
2.537911,Engine.c,L_time,2.537911,2.537911,0.016669,1,,,,,
2.554583,Engine.c,L_time,2.554583,2.554583,0.016672,1,,,,,
2.571254,Engine.c,L_time,2.571254,2.571254,0.016671,1,,,,,
2.587925,Engine.c,L_time,2.587925,2.587925,0.016671,1,,,,,
2.604594,Engine.c,L_time,2.604594,2.604594,0.01667,1,,,,,
2.621266,Engine.c,L_time,2.621266,2.621266,0.016672,1,,,,,
2.637936,Engine.c,L_time,2.637936,2.637936,0.01667,1,,,,,
2.654608,Engine.c,L_time,2.654608,2.654608,0.016672,1,,,,,
2.671293,Engine.c,L_time,2.671293,2.671293,0.016685,1,,,,,
2.68796,Engine.c,L_time,2.68796,2.68796,0.016667,1,,,,,
2.704683,Engine.c,L_time,2.704683,2.704683,0.016723,1,,,,,
2.732078,Engine.c,L_time,2.732078,2.732078,0.027395,1,,,,,
2.748802,Engine.c,L_time,2.748802,2.748802,0.016724,1,,,,,
2.776729,Engine.c,L_time,2.776729,2.776729,0.027927,1,,,,,
2.793442,Engine.c,L_time,2.793442,2.793442,0.016713,1,,,,,
2.821775,Engine.c,L_time,2.821775,2.821775,0.028333,1,,,,,
2.83843,Engine.c,L_time,2.83843,2.83843,0.016655,1,,,,,
2.855121,Engine.c,L_time,2.855121,2.855121,0.016691,1,,,,,
2.871772,Engine.c,L_time,2.871772,2.871772,0.016651,1,,,,,
2.888442,Engine.c,L_time,2.888442,2.888442,0.01667,1,,,,,
2.905112,Engine.c,L_time,2.905112,2.905112,0.01667,1,,,,,
2.921783,Engine.c,L_time,2.921783,2.921783,0.016671,1,,,,,
2.938456,Engine.c,L_time,2.938456,2.938456,0.016673,1,,,,,
2.955123,Engine.c,L_time,2.955123,2.955123,0.016668,1,,,,,
2.971796,Engine.c,L_time,2.971796,2.971796,0.016673,1,,,,,
2.988466,Engine.c,L_time,2.988466,2.988466,0.01667,1,,,,,
3.005192,Engine.c,L_time,3.005192,3.005192,0.016726,1,,,,,
3.024186,Engine.c,L_time,3.024186,3.024186,0.018994,1,,,,,
3.04092,Engine.c,L_time,3.04092,3.04092,0.016734,1,,,,,
3.058344,Engine.c,L_time,3.058344,3.058344,0.017424,1,,,,,
3.075016,Engine.c,L_time,3.075016,3.075016,0.016673,1,,,,,
3.09169,Engine.c,L_time,3.09169,3.09169,0.016673,1,,,,,
3.108358,Engine.c,L_time,3.108358,3.108358,0.016668,1,,,,,
3.125109,Engine.c,L_time,3.125109,3.125109,0.016751,1,,,,,
3.141727,Engine.c,L_time,3.141727,3.141727,0.016618,1,,,,,
3.160225,Engine.c,L_time,3.160225,3.160225,0.018498,1,,,,,
3.177305,Engine.c,L_time,3.177305,3.177305,0.01708,1,,,,,
3.193968,Engine.c,L_time,3.193968,3.193968,0.016662,1,,,,,
3.215136,Engine.c,L_time,3.215136,3.215136,0.021168,1,,,,,
3.234982,Engine.c,L_time,3.234982,3.234982,0.019846,1,,,,,
3.251999,Engine.c,L_time,3.251999,3.251999,0.017017,1,,,,,
3.268663,Engine.c,L_time,3.268663,3.268663,0.016664,1,,,,,
3.28539,Engine.c,L_time,3.28539,3.28539,0.016727,1,,,,,
3.302006,Engine.c,L_time,3.302006,3.302006,0.016616,1,,,,,
3.318682,Engine.c,L_time,3.318682,3.318682,0.016676,1,,,,,
3.335355,Engine.c,L_time,3.335355,3.335355,0.016673,1,,,,,
3.352026,Engine.c,L_time,3.352026,3.352026,0.016671,1,,,,,
3.368697,Engine.c,L_time,3.368697,3.368697,0.016671,1,,,,,
3.385417,Engine.c,L_time,3.385417,3.385417,0.01672,1,,,,,
3.411774,Engine.c,L_time,3.411774,3.411774,0.026357,1,,,,,
3.428488,Engine.c,L_time,3.428488,3.428488,0.016714,1,,,,,
3.456437,Engine.c,L_time,3.456437,3.456437,0.027948,1,,,,,
3.473121,Engine.c,L_time,3.473121,3.473121,0.016684,1,,,,,
3.489827,Engine.c,L_time,3.489827,3.489827,0.016707,1,,,,,
3.516218,Engine.c,L_time,3.516218,3.516218,0.026391,1,,,,,
3.532893,Engine.c,L_time,3.532893,3.532893,0.016675,1,,,,,
3.549621,Engine.c,L_time,3.549621,3.549621,0.016728,1,,,,,
